InteractorA,InteractorB
Q9GZZ9,P60520
Q9GZZ9,Q9GZQ8
Q9GZZ9,Q9BXW4
Q16763,Q9UJX6
Q9UK80,Q6A162
Q70EK8,P46108
Q70EK8,Q12933
Q14CS0,O43186
Q14CS0,V9HW80
Q14CS0,Q0VD86
Q14CS0,P50221
Q14CS0,Q96IV0
Q14CS0,Q9HCJ6
Q14CS0,P55072
O96006,A8K5H9
O96006,Q9Y2J4
O96006,Q9NX04
O96006,Q5JVL4
O96006,O60341
O96006,Q8TCA0
O96006,O75928
O96006,Q13131
O96006,P07602
O96006,Q16385
O96006,P0DI81
O96006,Q7KZS0
O96006,Q9Y5K5
Q53FD0,Q8N9N5
Q53FD0,Q68D86
Q53FD0,Q96JN2
Q53FD0,Q9Y6C2
Q53FD0,A1L4K1
Q53FD0,P14136
Q53FD0,Q96ED9
Q53FD0,P19012
Q53FD0,Q6A162
Q53FD0,Q9UJV3
Q53FD0,Q5JR59
Q53FD0,Q8ND90
Q53FD0,Q9UJ41
Q53FD0,P31947
Q53FD0,Q9BRV8
Q53FD0,Q96R06
Q53FD0,Q8NA61
Q53FD0,Q9UBB9
Q53FD0,Q13077
Q53FD0,Q12933
Q53FD0,P36406
Q53FD0,P14373
Q92558,A0A1B0GWI1
Q92558,O43639
Q92558,P07737
Q92558,Q15642
P35625,P50052
Q8NHU6,P42771
Q8NHU6,Q06547
Q8NHU6,O75410
Q8NHU6,O75410
P68036,Q9Y4X5
P68036,O95376
P68036,O15344
P68036,Q99PZ6
P68036,Q9BYM8
P68036,P50876
P68036,Q6ZMZ0
P68036,Q8ZNR3
Q9UHD9,A0A1U9X8X8
Q9UHD9,Q16186
Q9UHD9,O95994
Q9UHD9,Q8TD06
Q9UHD9,P02745
Q9UHD9,P40199
Q9UHD9,Q6UWE3
Q9UHD9,Q15038
Q9UHD9,Q01524
Q9UHD9,Q12805
Q9UHD9,O14964
Q9UHD9,P09651
Q9UHD9,P09651
Q9UHD9,Q00839
Q9UHD9,P48723
Q9UHD9,Q96NZ9
Q9UHD9,Q16378
Q9UHD9,P41222
Q9UHD9,P54725
Q9UHD9,O48726
Q9UHD9,A6ZKI3
Q9UHD9,Q13049
Q9UHD9,Q8WWY7
Q9UHD9,Q96DA0
Q8TAF3,O94782
O43379,Q92630
O43379,Q9H0I2
O43379,Q2KHM9
O43379,O15481
O43379,P45984
O43379,Q7Z4N8
O43379,Q9NUY8
O43379,Q9NUY8
Q13360,J3JSM9
Q9BRX9,Q14145
Q9BRX9,Q9Y3C6
Q9BRX9,Q6P2Q9
Q9BRX9,Q15427
Q9BRX9,P09234
Q9BRX9,Q9BZL1
P30536,Q96BA8
Q9Y6M5,Q9BRI3
Q8N184,Q8IZU0
Q8N184,Q9NYL2
Q6SA08,P16220
O43309,Q8NHQ1
O43309,Q9UJV3
O43309,Q5JR59
O43309,Q9Y2D8
O43309,Q9UBB9
O43309,Q9P0L1
O43309,Q9NWS9
O43309,Q8WTR7
O43309,Q96IT1
O43309,Q9NX65
P33981,O14777
P33981,Q9BZD4
P02766,Q15109
P02766,P05067
P02766,Q01850
P02766,P25713
P02766,Q7Z6G3
P02766,P02753
O75436,Q9UBQ0
O75436,Q96QK1
Q9BV36,P51159
Q9BV36,P51159
Q9BV36,O00194
Q5VVH5,Q12800
Q9Y3D8,P38432
Q9Y3D8,A0A0C4DGV4
Q9Y3D8,Q92597
Q9Y3D8,P62263
P09211,Q92624
P09211,Q15323
P09211,P60409
P09211,P60411
P09211,Q7Z3S9
P09211,P30041
P09211,Q12933
A4D1E9,Q08379
A4D1E9,Q5JR59
A4D1E9,Q8ND90
Q8NDC0,Q5VV41
Q8NDC0,Q6P1W5
Q8NDC0,Q53EZ4
Q8NDC0,Q01844
Q8NDC0,A0A0S2Z4Q4
Q8NDC0,O14964
Q8NDC0,Q9BUJ2
Q8NDC0,Q96PV6
Q8NDC0,O43251
Q8NDC0,O75177
Q8NDC0,P63165
Q8NDC0,G2XKQ0
Q8NDC0,Q92734
Q8NDC0,Q7KZS0
Q8NDC0,A5D8V6
Q8NB16,Q9Y572
Q02846,Q7Z3Z2
Q9NVD7,Q13418
Q9NVD7,O55222
Q9NVD7,Q96EN8
Q9NVD7,P49023
Q7RTR2,Q9ULZ3
Q15121,P28482
Q15121,P27361
Q15121,Q9NYB0
Q9NQ66,Q8TAP6
Q9NQ66,Q13363
Q9NQ66,P56545
Q9NQ66,P56545
Q9NQ66,Q12800
Q9P270,Q14008
Q12888,Q13315
Q12888,P38398
Q12888,P16104
Q12888,P68431
Q12888,P62805
Q12888,P50222
Q12888,P01106
Q12888,Q14686
Q12888,Q6ZW49
Q12888,Q6NZQ4
Q12888,P53350
Q12888,Q86V20
Q12888,P63165
Q12888,P04637
Q12888,Q08AM6
Q12888,Q99986
Q12888,O43257
Q9Y6J9,Q16594
Q9Y6J9,Q9HBM6
Q15437,Q8N684
Q15437,Q86UW9
Q15437,Q969F0
Q15437,O43365
Q15437,Q96M27
Q15437,O94855
Q15437,Q8N205
Q8IY34,Q9HC29
Q8IY34,Q8N697
Q8TEV9,Q96LT7
Q8TEV9,Q96LT7
P48775,O95671
P48775,O60762
P48775,P06730
P48775,Q9H8S9
P48775,Q70IA8
P48775,Q9NPG2
P48775,Q9HAN9
P48775,Q9NRD5
P48775,Q8IYS1
P48775,O00560
P48775,Q9H190
P48775,Q68DK2
P29084,P29083
P29084,P23508
Q96I99,Q8IWL3
Q9NUY8,Q8TC20
Q9NUY8,P60410
Q9NUY8,P60411
Q9NUY8,Q9BQ66
Q9NUY8,Q9BWW4
Q9NUY8,O43379
Q9UBN4,P20591
A7MCY6,Q9UKV8
A7MCY6,O96018
A7MCY6,Q14164
A7MCY6,Q8TDY2
A7MCY6,Q9UHD2
A7MCY6,P17362
O60907,Q13227
O60907,A0A024RBS3
O60907,Q9BSI4
A6NFA1,P27467
Q96B02,Q9NX47
Q96B02,O43586
Q96B02,Q99942
Q96B02,Q9HAT0
Q96B02,Q8N6Y0
Q5VVX9,Q08379
Q5VVX9,Q13049
Q14139,Q7Z434
Q8TBZ3,Q9UN19
Q8TBZ3,O75317
Q8TBZ3,P62068
Q9P0L1,P57086
Q9P0L1,A0A0S2Z6X0
Q9P0L1,Q969J2
Q9P0L1,Q9NWS9
Q9P0L1,O43309
Q9P0L1,Q9Y5A6
Q9UJ78,P63165
Q15973,O95273
Q15973,A1L4K1
Q15973,Q08379
Q15973,Q15323
Q15973,Q6A162
Q15973,P60409
Q15973,P60410
Q15973,P60411
Q15973,Q9BYR5
Q15973,P26371
Q15973,Q99750
Q15973,P50222
Q15973,Q7Z3S9
Q15973,Q9Y2D8
Q15973,Q8N0S2
Q15973,P15884
Q15973,Q13077
Q15973,Q9BZW7
P35968,P46108
P35968,P35916
P35968,O60565
P35968,P98160
P35968,P17301
P35968,P09382
P35968,Q14114
P35968,P08581
P35968,P16333
P35968,O14786
P35968,O75340
P35968,P09619
P35968,P29350
P35968,Q12913
P35968,P12931
P35968,P15692
P35968,P15692
P35968,Q9MYV3
P35968,P49767
Q7Z4V0,Q9UJV3
Q96JM2,Q96KQ7
Q17R98,Q14839
Q17R98,Q8WXI9
Q17R98,Q92769
Q17R98,O94776
Q17R98,Q16576
Q96EG3,Q7Z698
Q96EG3,Q9Y3S2
Q96EG3,Q8TAU3
Q96EG3,Q96SQ5
Q96EG3,Q3KQV3
Q96MU7,P49760
Q96MU7,Q92997
Q96MU7,P61978
Q96MU7,Q5VWX1
Q96MU7,O75525
Q96MU7,Q15415
Q96MU7,Q9H190
Q96MU7,Q96SB4
Q96MU7,P78362
Q96MU7,P62995
Q15649,Q9UHK0
P40306,O95273
P40306,O43186
P40306,P50222
P40306,P49720
P28065,Q9WMX2
P28065,Q9Y3R0
P28065,Q15788
P28065,Q9Y6Q9
P28065,Q9Y244
P28065,Q99436
P14923,P25054
P14923,A0A0S2Z4M1
P14923,O15169
P14923,P19022
P14923,P35221
P14923,P35222
P14923,Q9NSA3
P14923,Q14192
P14923,P16284
P14923,Q96HA8
P54829,Q07325
P54829,P54274
P54829,Q9BSA0
P54829,Q9NW97
P54829,Q9UEU0
O15466,Q92624
Q6PKC3,Q9WMX2
Q99592,P56545
Q9Y2K1,Q3B820
Q9Y2K1,P11309
Q9Y2K1,Q8IWZ5
Q9Y2K1,Q8TAU3
Q9Y2K1,Q7Z3I7
Q06418,Q9Y5K2
Q06418,Q6A162
Q06418,P60409
Q06418,P60410
Q06418,P60411
Q06418,Q9BYR5
Q06418,P26371
Q06418,Q99750
Q9H0M4,Q96JM7
Q9H0M4,Q6FHY5
O95670,Q96A05
Q8N1B4,Q9WMX2
